#time,accel_x,accel_y,accel_z
2995.813097,-3888.183496,-4778.826514,-7536.946826
2995.813343,-4180.276099,-5027.823486,-9931.148486
2995.813589,-3069.366528,-2667.140649,-10031.704956
2995.813835,-1350.329736,2738.966699,-8001.421948
2995.814081,-301.669409,8973.467822,-5339.069702
2995.814327,809.240161,13541.604590,-4639.962817
2995.814573,1034.295117,16136.919189,-6306.327173
2995.814820,1719.036792,16079.458350,-8322.244971
2995.815066,2202.665527,14939.818359,-9375.693701
2995.815312,2298.433594,12990.938208,-7254.431030
2995.815558,2786.850732,12765.883252,-5286.397266
2995.815804,3457.227197,16328.455322,-5056.553906
2995.816050,3634.398120,22811.953418,-7010.222461
2995.816297,3653.551733,28763.938745,-9830.592017
2995.816543,2849.099976,33633.744922,-10285.490332
2995.816789,2647.987036,36142.868262,-9916.783276
2995.817035,2920.926025,35975.274146,-8307.879761
2995.817281,2987.963672,33269.826270,-8537.723120
2995.817527,3418.919971,28878.860425,-10433.930835
2995.817773,3313.575098,23908.497778,-12076.353174
2995.818020,2279.279980,19230.227734,-12387.599390
2995.818266,1422.155786,15073.893652,-10654.197388
2995.818512,809.240161,10539.275708,-9859.322437
2995.818758,665.588062,6416.460449,-10338.162769
2995.819004,574.608398,4252.102148,-12267.889307
2995.819250,378.283862,3213.018628,-13838.485596
2995.819496,-646.434448,2940.079639,-13393.164087
2995.819743,-1106.121167,2609.679810,-11937.489478
2995.819989,-248.996973,210.689746,-11046.846460
2995.820235,1216.254443,-4223.371729,-11468.225952
2995.820481,1446.097803,-5521.029028,-13608.642236
2995.820727,-416.591089,-4017.470386,-14987.702393
2995.820973,-1493.981836,-5257.666846,-13704.410303
2995.821220,-1096.544360,-8250.418921,-12804.190479
2995.821466,43.095630,-13354.856860,-10347.739575
2995.821712,560.243188,-18310.854297,-11578.359229
2995.821958,-172.382520,-20848.708057,-13273.454004
2995.822204,-1805.228052,-21638.794604,-13541.604590
2995.822450,-2432.508887,-22917.298291,-13599.065430
2995.822696,-1752.555615,-23889.344165,-10204.087476
2995.822943,-1048.660327,-25704.149023,-9064.447485
2995.823189,-526.724365,-27935.544971,-9844.957227
2995.823435,67.037646,-27878.084131,-10156.203442
2995.823681,287.304199,-25613.169360,-11314.997046
2995.823927,335.188232,-25086.444995,-9567.229834
2995.824173,191.536133,-27332.206152,-7613.561279
2995.824419,-967.257471,-28136.657910,-6928.819604
2995.824666,-1556.231079,-24957.158105,-7666.233716
2995.824912,-2810.792749,-17755.399512,-10060.435376
2995.825158,-4003.105176,-10285.490332,-10453.084448
2995.825404,-3974.374756,-4807.556934,-9074.024292
2995.825650,-3725.377783,-2710.236279,-7426.813550
2995.825896,-3682.282153,-3648.763330,-6531.382129
